Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2NeM9rfWo70KQej9GxeaoL,"Where's My Love","SYML","SYML",2019-05-03,202009,1,false,thegoodfm,2023-08-28T15:53:24Z,"","Nettwerk Records",0.608,0.358,0,-10.018,0,0.0253,0.854,0.0186,0.113,0.365,103.94,4
spotify:track:6E4HtOSa9m23PAp6BuiMsl,"Honest","Honest","Fabilous Beats;Chill Space",2024-12-06,119374,9,false,thegoodfm,2024-12-06T20:35:32Z,"lo-fi,jazz beats","Chill Space Records",0.772,0.244,7,-10.529,0,0.315,0.953,0.794,0.278,0.239,140.061,4
spotify:track:3GtJxhNWq78LCSIEj6l5mp,"Bite Your Soul","Bite Your Soul","Shiloh Dynasty;DESH;Chill Space",2024-12-03,140172,8,false,thegoodfm,2024-12-06T20:36:57Z,"lo-fi beats,jazz beats,lo-fi,lo-fi hip hop","Create Capital",0.728,0.172,6,-14.198,0,0.0689,0.169,0.282,0.0994,0.345,87.1,4
spotify:track:4q7qeunh0bnN5An3pHK7a9,"I'm sorry, I love you.","I'm sorry, I love you.","Tristesse;juli",2023-09-01,112460,18,false,thegoodfm,2023-09-01T08:12:10Z,"","TheGoodVibe",0.57,0.213,6,-15.017,0,0.0382,0.944,0.151,0.374,0.534,111,4
spotify:track:1veHwv1HPwzOvlhs5jPxeP,"blame's on me","blame's on me","Alexander Stewart",2022-12-09,138374,59,false,thegoodfm,2023-08-28T15:39:00Z,"pop singer-songwriter","Alexander Stewart / FAE",0.306,0.121,1,-17.118,0,0.0396,0.863,0,0.167,0.238,159.08,3
spotify:track:4xqrdfXkTW4T0RauPLv3WA,"Heather","Kid Krow","Conan Gray",2020-03-20,198040,85,false,thegoodfm,2023-08-28T15:39:06Z,"","Republic Records",0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,3
spotify:track:7BpqydHSxMviDR0DNTne6J,"Yours","Yours","Conan Gray",2022-05-19,204967,50,true,thegoodfm,2023-08-29T09:32:03Z,"","Republic Records",0.523,0.302,2,-8.868,1,0.035,0.848,0,0.127,0.172,130.47,4
spotify:track:1ei3hzQmrgealgRKFxIcWn,"In The Stars","In The Stars","Benson Boone",2022-04-29,216410,77,false,thegoodfm,2022-05-19T17:28:52Z,"","Warner Records",0.362,0.54,10,-6.031,1,0.0528,0.338,0,0.139,0.3,78.007,3
spotify:track:7a136OjWdjlt6Eg3gJ2Kdv,"for me // for you","for me // for you","saint rumi;Chill Space",2024-04-19,107000,0,false,thegoodfm,2024-05-05T13:41:07Z,"jazz beats,lo-fi","Chill Space Records",0.563,0.292,8,-18.089,0,0.264,0.924,0.705,0.128,0.406,149.955,5
spotify:track:5kcvBnt6DPX3AMEsCx1qDh,"Happiest Year","Happiest Year","Jaymes Young",2019-07-12,228442,1,false,thegoodfm,2022-05-19T17:28:52Z,"","Please Rewind/Atlantic",0.501,0.167,1,-14.061,1,0.0484,0.885,0,0.111,0.356,112.275,3
