Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:100mqLAIIpLIzPJdLu5IWs,"Life Is Beautiful","Deiva Thiirumagal (Original Motion Picture Soundtrack)","G. V. Prakash",2011-04-14,104386,40,false,,2025-01-17T16:09:46Z,"tamil pop,kollywood,tamil dance,tamil hip hop","Think Music",0.479,0.314,4,-8.297,0,0.0319,0.0135,0.000011,0.113,0.451,79.947,3
spotify:track:674V3nryD83N97s8zOLkG7,"Irava Pagala","Poovellam Kettuppar","Hariharan;Sujatha",1999-08-06,310358,60,false,,2025-01-17T16:04:24Z,"bhajan,tamil pop,ghazal,kollywood,devotional,malayalam pop,mollywood,telugu pop","Music Masters Audio Video LLP",0.702,0.413,1,-11.453,1,0.055,0.458,0.00000657,0.148,0.236,82.045,4
spotify:track:7baFNW0DR9JLmbe6MkBLFI,"Maane Maane","Uriyadi (Original Motion Picture Soundtrack)","Anthony Daasan;Masala Coffee",2016-01-28,334666,57,false,,2025-01-17T15:58:46Z,"tamil dance,tamil pop,kollywood,kannada pop,tamil hip hop,malayalam pop,malayalam hip hop","Sony Music Entertainment India Pvt. Ltd.",0.633,0.771,2,-6.328,1,0.272,0.281,0,0.287,0.53,179.976,4
spotify:track:6Z8oU8xMOie24Cflh2Sw6p,"Venmegam","Yaaradi Nee Mohini (Original Motion Picture Soundtrack)","Yuvan Shankar Raja;Hariharan;Na.Muthukumar",2008-10-17,274853,70,false,,2025-01-17T15:53:40Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,bhajan,ghazal,devotional","Think Music (India)",0.803,0.426,3,-11.54,1,0.0742,0.418,0.0000223,0.11,0.556,114.945,4
spotify:track:2mE6gj9epD1QLaTjRRbLtZ,"Vaadi Ne Va","Meesaya Murukku (Original Motion Picture Soundtrack)","Hiphop Tamizha;Rajan Chelliah",2017-07-28,185046,52,false,,2025-01-17T15:50:44Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.632,0.85,0,-3.535,1,0.0761,0.103,0,0.225,0.618,91.992,4
spotify:track:0xttqqTj7ZAGyVkfOYxQ4F,"Nee Paartha Vizhigal - The Touch of Love","3 (Original Motion Picture Soundtrack)","Anirudh Ravichander;Vijay Yesudas;Shweta Mohan;Dhanush",2011-12-23,264506,73,false,,2025-01-17T15:38:13Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.665,0.596,9,-6.969,0,0.0278,0.293,0.0000367,0.247,0.644,110.055,4
spotify:track:3lduX66MI6HFmhnHkCg7ql,"Sakkarai Nilave","Youth (Original Motion Picture Soundtrack)","Mani Sharma;Harish Raghavendra;Vairamuthu",2002-07-19,340480,0,false,,2025-01-17T15:27:28Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood","Sony Music Entertainment India Pvt. Ltd.",0.706,0.401,2,-13.575,1,0.0434,0.592,0,0.213,0.521,91.062,4
spotify:track:5hOozccgi7DVihlkh2SvZh,"Nenje Nenje","Ayan","Harish Raghavan;Mahathi",2009-04-03,344234,69,false,,2025-01-17T12:59:55Z,"tamil pop,kollywood,tamil dance","Avm productions",0.67,0.507,9,-8.592,0,0.0277,0.495,0.000232,0.0804,0.381,114.966,4
spotify:track:00bHxCcteaAJhU5WiP1mtf,"Unakkenna Venum Sollu","Yennai Arindhaal (Original Motion Picture Soundtrack)","Harris Jayaraj;Benny Dayal;Mahathi;Thamarai",2015-01-04,308242,60,false,,2025-01-17T12:45:14Z,"tamil pop,kollywood,telugu pop,tamil dance,tollywood,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.715,0.497,4,-9.914,1,0.0371,0.472,0,0.116,0.396,142.499,3
spotify:track:3jrOziEVwpJAETyEDZ5HWa,"Rasathi Unnai","Vaidehi Kathirunthal (Original Motion Picture Soundtrack)","P. Jayachandran",1984,263575,0,false,,2025-01-17T12:31:26Z,"malayalam pop,mollywood,devotional","Imm",0.629,0.427,3,-8.872,1,0.0272,0.41,0.00774,0.451,0.845,95.478,3
spotify:track:1Kahww4mHXIHEgLbaVUkIM,"Verrattaama Verratturiye (From ""Veera"")","Verrattaama Verratturiye (From ""Veera"")","Leon James;Sid Sriram;Neeti Mohan",2017-02-17,277905,52,false,,2025-01-17T08:04:22Z,"tamil pop,kollywood,tollywood,telugu pop,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.44,0.439,11,-8.288,1,0.0273,0.216,0,0.11,0.392,169.878,3
spotify:track:3ywjIbXWgG5Vjom6zhA2aP,"Velicha Poove","Ethir Neechal (Original Motion Picture Soundtrack)","Anirudh Ravichander;Shreya Ghoshal;Mohit Chauhan;Vaali",2012-12-15,312280,67,false,,2025-01-16T18:47:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,hindi pop,desi,kannada pop,marathi pop,sufi","Sony Music Entertainment India Pvt. Ltd.",0.526,0.701,5,-6.574,0,0.0552,0.444,0.00000274,0.0883,0.683,79.744,4
spotify:track:5JrW82DAZdx0p5rZbIiGeg,"Most Wanted","Most Wanted","Towa;Token",2024-09-12,91598,51,true,,2025-01-16T16:41:39Z,"","Memphis 1996",0.772,0.943,1,-5.157,1,0.163,0.0257,0.111,0.175,0.714,189.989,4
